"","country","year","emissions"
"160","Egypt",1951,0.479441154
"161","El Salvador",1951,0.144286078
"162","Equatorial Guinea",1951,0.047814237
"163","Ethiopia",1951,0.003317662
"164","Faeroe Islands",1951,1.288440242
"165","Fiji",1951,0.445638816
"166","Finland",1951,1.971865971
"167","France",1951,5.445773018
"168","French Guiana",1951,0.419447092
"169","Gambia",1951,0.053730352
"170","Germany",1951,8.40222282
"171","Ghana",1951,0.172203781
"172","Gibraltar",1951,4.973919222
"173","Greece",1951,0.59890618
"174","Greenland",1951,4.22192844
"175","Grenada",1951,0.143567522
"176","Guadeloupe",1951,0.309715203
"177","Guatemala",1951,0.196969145
"178","Guinea-Bissau",1951,0.00695191
"179","Guyana",1951,0.675361354
"180","Haiti",1951,0.040298551
"181","Honduras",1951,0.228427883
"182","Hong Kong, China",1951,0.76534492
"183","Hungary",1951,2.342737799
"184","Iceland",1951,4.441752473
"185","India",1951,0.184486467
"186","Indonesia",1951,0.123688741
"187","Iran",1951,0.389308494
"188","Iraq",1951,0.410933085
"189","Ireland",1951,3.600445091
"190","Israel",1951,2.158119485
"191","Italy",1951,1.044761468
"192","Jamaica",1951,0.362400801
"193","Japan",1951,1.474733602
"194","Jordan",1951,0.32025451
"195","Kenya",1951,0.223284193
"196","Kuwait",1951,0.715373
"197","Lebanon",1951,0.967342147
"198","Liberia",1951,0.047556719
"199","Libya",1951,0.162918574
"200","Luxembourg",1951,30.33637045
"201","Madagascar",1951,0.058927863
"202","Malta",1951,0.820236185
"203","Martinique",1951,0.359397045
"204","Mauritius",1951,0.275148616
"205","Mexico",1951,1.220386261
"206","Mongolia",1951,0.369509116
"207","Morocco",1951,0.319563419
"208","Mozambique",1951,0.142495236
"209","Myanmar",1951,0.05249116
"210","Nepal",1951,0.003503658
"211","Netherlands",1951,5.420427773
"212","New Caledonia",1951,4.391627391
"213","New Zealand",1951,4.197894173
"214","Nicaragua",1951,0.151483284
"215","Nigeria",1951,0.0437997
"216","Norway",1951,2.874940154
"217","Pakistan",1951,0.173524682
"218","Panama",1951,0.62831202
"219","Papua New Guinea",1951,0.036046289
"220","Paraguay",1951,0.031526094
"221","Peru",1951,0.610860922
"222","Philippines",1951,0.186642515
"223","Poland",1951,4.815386355
"224","Portugal",1951,0.640530736
"225","Qatar",1951,14.15340544
"226","Reunion",1951,0.113152572
"227","Romania",1951,1.356243008
"228","Russia",1951,4.38495398
"229","Samoa",1951,0.043559009
"230","Sao Tome and Principe",1951,0.061992437
"231","Saudi Arabia",1951,0
"232","Sierra Leone",1951,0.049636956
